original_description,amount
COMENITY PAY OT DES:WEB PYMT ID:NUMBER INDN:CUSTOMER NAME CO ID:XXXXXNAME WEB,69115
GEICO PREM COLL,22532
DDA B/P NUMBER 03/22/20 NUMBER PROGRESSIVE *INSURANCE 800-776-4737 OH Card# NUMBER,70080
INSTACART SUBSCRIPTION HTTPSINSTACARCA,3138
COMENITY PAY IL WEB PYMT WEB,38327
WEB INITIATED PAYMENT AT Acorns Invest Transfer HASH 070620,5875
POS Debit AMAZON MUSIC*MJ11O4590 DBT CRD NUMBER DATE NUMBER 888-802-3080 WA Card# NUMBER,5086
ACH Withdrawal PLANET FIT,1630
WITHDRAW / Acorns Invest Transfer 070820,1577
Amazon Music*MF8JB,1253
BESTBUYPHONEPL00026104 800-4335778 MN        03/13,3138
MICROSOFT*XBOX LIVE GOLD,3138
ACH Electronic Debit - Acorns Invest Transfer HASH,1571
PAYPAL INST XFER GODADDY.COM,1593
Debit Purchase -visa 08/21 card NUMBER Dnh*godaddy.com 480-5058855 Az,3823
GOOGLE *Google Storage,625
BURGER KING #925 NY            11/03,8467
COMENITY PAY OH  WEB PYMT   PNUMBER WEB ID: NUMBER,62832
ACH Electronic Debit - affirm.com Payme affirm.com ST-HASH,48682
Check Card: BESTBUYCOMNUMBER 888-BESTBUY MN 04/06/20Card 17 #NUMBER,34005
PROG DIRECT INS DES:INS PREM ID:XXXXXNUMBER NAME INDN:CUSTOMER NAME CO ID:XXXXXNUMBER PPD,30888
affirm.com Payme TYPE: affirm.com  ID: NUMBER CO: affirm.com Payme,13983
PROG UNIVERSAL   INS PREM                   PPD ID: NUMBER,53982
AplPay DOORDASH*APPLSAN FRANCISCO       CA,17605
STATE FARM INSURANCEBLOOMINGTON         IL,74214
PAYPAL *PLAYSTATION 4029357733 CA,3280
DNH*GODADDY.COM              480-5058855  AZ,39873
Subscription Acorns 052620 HASH CUSTOMER NAME,314
PLANET FIT      CLUB FEES,7565
"Payment to GoDaddy.com, LLC",8372
AT&T MOBILE RECURRIN800-288-2020        TX,65009
DNH*GODADDY.COM,6280
Amazon Music*MM1KD CHK CARD PUR 888-802-3080 WA NUMBER POS,4709
COMENITY PAY IL  PHONE PYMT,18850
DEBIT FOR CHECKCARD XXXXXXNUMBER 09/10/20BURGER KING #4081 PHOENIX AZ,2215
DEBIT FOR ACORNS INVEST TRANSFER CO REF- HASH,2205
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,77180
GROUPON INC / GROUPON.COM ILUS : POS Transaction,1568
AplPay DOORDASH*FLYISAN FRANCISCO       CA,8341
AT&T,55094
DOORDASH DASHPASS DDA POS PURCHASE       NUMBER,3138
INSTACART SUBSCRIPTION,3138
PURCHASE AUTHORIZED ON 05/21 INSTACART SUBSCRIP HTTPSINSTACAR CA SNUMBER CARD NUMBER,3138
Hulu,21360
STATE FARM INSURANCEBLOOMINGTON         IL,65238
ELECTRONIC/ACH DEBIT ACORNS INVEST    TRANSFER  HASH            NUMBER  ,15708
GROUPON INC GROUPON.COM IL,55449
DOORDASH*FRIENDLYS  SAN FRANCISCO       CA,7461
INSTACART 8882467822 Digital Account Number XXXXXXXXXXXXNUMBER,1228
KINDLE SVCS*0L3UZ440866-321-8851        WA,4709
DEBIT CARD DEBIT / auth #NUMBER 01-24-2020 PLAYSTATION NETWORK 800-345-7669 CA,7854
AT&T*BILL PAYMENT 800-331-0500 TX,74607
ACH Withdrawal COMENITY PAY JT WEB PYMT CUSTOMER NAME 800-395-5714,15708
External Withdrawal STATE FARM / RO 27 - SFPP,261622
DOORDASH DASHPASS WWW.DOORDASH.CA DEBIT CARD PURCHASE,3138
PLANET FIT CLUB FEES,6930
Card Purchase - ATT*BILL PAYMENT,6883
CKC DEBIT  NUMBER 06/09 00:00   PLAYSTATION NE 800 345 7669 CA,6280
PLAYSTATION NETWORK 919 E Hillsdale Blvd 8,7851
PAYPAL *PLAYSTATION,27360
Subscription Acorns 052220 HASH CUSTOMER NAME,314
PLANET FIT CLUB FEES NUMBER 720-204-2400,6930
ANNUAL MEMBERSHIP FEE,29845
POS Withdrawal (ELN) ABC*PLANET FITNESS ABC*PLANET FITNESS 860-2010033 CT(NUMBER),3343
affirm.com Payme affirm.com ST-HASH CUSTOMER NAME ,7207
Kindle Unltd*888TC3N63 866-321-8851 WA,3138
HLU*HULU NUMBER HULU.COM/BILL       CA,3767
GROUPON INC,24881
ANNUAL MEMBERSHIP FEE,31102
COMENITY PAY UR DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:NUMBER WEB,57771
ANNUAL MEMBERSHIP FEE,29845
AplPay DOORDASH*VESSSAN FRANCISCO       CA,20395
DNH*GODADDY.COM 03/28 PURCHASE 480-5058855 AZ,1568
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,625
DNH*GODADDY.COM 480-505-8855 AZ DNH*GODADDY.COM,7851
STATE FARM LOAN PYMT NUMBER,99965
Check Card Withdrawal / Microsoft*Xbox msbill.info WAUS,1455
Amazon Music*MS97W75K2,2510
DOORDASH DASHPASS,3138
DDA B/P NUMBER 07/23/20 NUMBER SIE*PLAYSTATIONNETWORK 877-971-7669 CA Card# NUMBER,3135
GROUPON INC GROUPON.COM IL,1885
BESTBUYCOMNUMBER   888-BESTBUY  MN,12560
